Question ID,Correct Answers
5330723675,1
5330723676,4
5330723677,4
5330723678,1
5330723679,3
5330723680,4
5330723681,3
5330723682,3
5330723683,4
5330723684,1
5330723685,3
5330723686,4
5330723687,4
5330723688,3
5330723689,4
5330723690,1
5330723691,1
5330723692,1
5330723693,3
5330723694,4
5330723695,3
5330723696,4
5330723697,1
5330723698,2
5330723699,3
5330723700,2
5330723701,3
5330723702,2
5330723703,3
5330723704,4
5330723705,2
5330723706,2
5330723707,4
5330723708,3
5330723709,3
5330723710,2
5330723711,4
5330723712,2
5330723713,2
5330723714,1
5330723715,4
5330723716,2
5330723717,3
5330723718,3
5330723719,2
5330723721,2
5330723722,1
5330723723,4
5330723724,3
5330723725,4
5330723726,3
5330723727,3
5330723728,3
5330723729,3
5330723730,2
5330723731,2
5330723732,1
5330723733,4
5330723734,1
5330723735,3
5330723736,2
5330723737,2
5330723738,3
5330723739,3
5330723740,3
5330723741,1
5330723742,4
5330723743,1
5330723744,4
5330723745,2
5330723746,2
5330723747,1
5330723748,1
5330723749,1
5330723750,2
5330723751,2
5330723752,1
5330723753,1
5330723754,4
5330723755,3
5330723756,1
5330723757,1
5330723758,1
5330723759,1
5330723760,3
5330723761,1
5330723762,1
5330723763,1
5330723764,2
5330723765,1
5330723766,3
5330723767,1
5330723768,2
5330723769,3
5330723770,4
5330723771,3
5330723772,2
5330723773,3
5330723774,2
5330723775,3
5330723776,2
5330723777,1
5330723778,4
5330723779,1
5330723780,3
5330723781,1
5330723782,2
5330723783,2
5330723784,1
5330723785,3
5330723786,1
5330723787,1
5330723788,1
5330723789,2
5330723790,2
5330723791,4
5330723792,1
5330723793,4
5330723794,3
5330723795,1
5330723796,2
5330723797,4
5330723798,2
5330723799,4
5330723800,1
5330723801,4
5330723802,3
5330723803,3
5330723804,4
5330723805,3
5330723806,3
5330723807,3
5330723808,3
5330723809,2
5330723810,2
5330723811,3
5330723812,2
5330723813,2
5330723814,3
5330723815,3
5330723817,1
5330723818,2
5330723819,2
5330723820,2
5330723821,4
5330723823,1
5330723824,1
5330723825,4
5330723826,1
5330723827,4